x,y,z
0,0,0
0.0002,0.002238,0
0.0004,0.003486,0
0.0006,0.004296,0
0.0008,0.004969,0
0.001,0.005557,0
0.002,0.007815,0
0.003,0.009528,0
0.004,0.010961,0
0.005,0.012213,0
0.01,0.017037,0
0.02,0.023598,0
0.03,0.028401,0
0.04,0.032277,0
0.05,0.035547,0
0.06,0.038376,0
0.07,0.040863,0
0.08,0.043072,0
0.09,0.04505,0
0.1,0.046828,0
0.125,0.050538,0
0.15,0.053452,0
0.175,0.055677,0
0.2,0.057375,0
0.225,0.058588,0
0.25,0.059412,0
0.275,0.059866,0
0.3,0.060017,0
0.325,0.059874,0
0.35,0.059486,0
0.375,0.058859,0
0.4,0.05803,0
0.425,0.057003,0
0.45,0.055807,0
0.475,0.054445,0
0.5,0.05294,0
0.525,0.051293,0
0.55,0.049524,0
0.575,0.047632,0
0.6,0.045634,0
0.625,0.043527,0
0.65,0.041325,0
0.675,0.039025,0
0.7,0.036639,0
0.725,0.034162,0
0.75,0.031603,0
0.775,0.028957,0
0.8,0.026231,0
0.825,0.023419,0
0.85,0.020526,0
0.875,0.017544,0
0.9,0.014477,0
0.925,0.011317,0
0.95,0.008066,0
0.96,0.006737,0
0.97,0.005393,0
0.98,0.004032,0
0.99,0.002654,0
0.995,0.001957,0
1,0.00126,0
